x,y,nothing
33.41304, -111.91555, 
33.41295, -111.91566, 
33.41285, -111.91568, 
33.41278, -111.91573, 
33.41281, -111.91587, 
33.41282, -111.91598, 
33.41282, -111.91609, 
33.41282, -111.91621, 
33.41280, -111.91632, 
33.41282, -111.91647, 
33.41280, -111.91662, 
33.41280, -111.91678, 
33.41281, -111.91692, 
33.41285, -111.91706, 
33.41289, -111.91716, 
33.41293, -111.91730, 
33.41293, -111.91744, 
33.41293, -111.91757, 
33.41292, -111.91768, 
33.41293, -111.91782, 
33.41293, -111.91796, 
33.41291, -111.91811, 
33.41291, -111.91826, 
33.41291, -111.91840, 
33.41291, -111.91852, 
33.41292, -111.91863, 
33.41293, -111.91873, 
33.41295, -111.91884, 
33.41300, -111.91892, 
33.41307, -111.91898, 
33.41316, -111.91898, 
33.41324, -111.91895, 
33.41333, -111.91896, 
33.41342, -111.91899, 
33.37522, -111.98543, 
33.37535, -111.98537, 
33.37547, -111.98526, 
33.37555, -111.98519, 
33.37566, -111.98512, 
33.37576, -111.98504, 
33.37586, -111.98495, 
33.37597, -111.98486, 
33.37608, -111.98477, 
33.37618, -111.98469, 
33.37627, -111.98462, 
33.37635, -111.98456, 
33.37645, -111.98449, 
33.37655, -111.98448, 
33.37667, -111.98448, 
33.37676, -111.98447, 
33.37687, -111.98449, 
33.37701, -111.98449, 
33.37712, -111.98450, 
33.37722, -111.98451, 
33.37733, -111.98448, 
33.37745, -111.98446, 
33.37756, -111.98443, 
33.37767, -111.98442, 
33.37778, -111.98444, 
33.37787, -111.98444, 
33.37796, -111.98446, 
33.37801, -111.98456, 
33.37804, -111.98467, 
33.37802, -111.98477, 
33.37802, -111.98493, 
33.37802, -111.98508, 
33.37801, -111.98524, 
33.37801, -111.98538, 
33.37801, -111.98553, 
33.37800, -111.98568, 
33.37800, -111.98583, 
33.37800, -111.98598, 
33.37799, -111.98611, 
33.37799, -111.98624, 
33.37799, -111.98638, 
33.37798, -111.98652, 
33.37799, -111.98664, 
33.37799, -111.98679, 
33.37799, -111.98694, 
33.37797, -111.98708, 
33.37798, -111.98722, 
33.37798, -111.98736, 
33.37799, -111.98752, 
33.37798, -111.98769, 
33.37798, -111.98783, 
33.37798, -111.98797, 
33.37797, -111.98811, 
33.37797, -111.98821, 
33.37796, -111.98835, 
33.37795, -111.98850, 
33.37798, -111.98866, 
33.37798, -111.98881, 
33.37798, -111.98896, 
33.37798, -111.98909, 
33.37798, -111.98923, 
33.37797, -111.98936, 
33.37796, -111.98950, 
33.37796, -111.98964, 
33.37796, -111.98979, 
33.37797, -111.98992, 
33.37796, -111.99004, 
33.37797, -111.99017, 
33.37796, -111.99030, 
33.37795, -111.99041, 
33.37796, -111.99053, 
33.37796, -111.99065, 
33.37796, -111.99077, 
33.37796, -111.99089, 
33.37796, -111.99101, 
33.37796, -111.99115, 
33.37796, -111.99128, 
33.37796, -111.99140, 
33.37796, -111.99153, 
33.37797, -111.99166, 
33.37797, -111.99178, 
33.37797, -111.99190, 
33.37796, -111.99202, 
33.37797, -111.99213, 
33.37796, -111.99226, 
33.37796, -111.99239, 
33.37796, -111.99249, 
33.37796, -111.99261, 
33.37797, -111.99273, 
33.37796, -111.99285, 
33.37796, -111.99298, 
33.37794, -111.99312, 
33.37795, -111.99323, 
33.37796, -111.99333, 
33.37796, -111.99344, 
33.37796, -111.99357, 
33.37796, -111.99370, 
33.37796, -111.99385, 
33.37796, -111.99398, 
33.37797, -111.99412, 
33.37797, -111.99425, 
33.37797, -111.99438, 
33.37796, -111.99451, 
33.37795, -111.99463, 
33.37795, -111.99475, 
33.37794, -111.99487, 
33.37793, -111.99497, 
33.37793, -111.99511, 
33.37792, -111.99521, 
33.37789, -111.99531, 
33.37783, -111.99541, 
33.37776, -111.99550, 
33.37770, -111.99562, 
33.37766, -111.99573, 
33.37760, -111.99584, 
33.37754, -111.99596, 
33.37748, -111.99608, 
33.37742, -111.99620, 
33.37736, -111.99632, 
33.37730, -111.99644, 
33.37724, -111.99656, 
33.37717, -111.99668, 
33.37712, -111.99679, 
33.37705, -111.99690, 
33.37698, -111.99701, 
33.37689, -111.99713, 
33.37680, -111.99722, 
33.37669, -111.99731, 
33.37658, -111.99738, 
33.37647, -111.99743, 
33.37636, -111.99747, 
33.37624, -111.99750, 
33.37610, -111.99752, 
33.37596, -111.99753, 
33.37583, -111.99756, 
33.37570, -111.99758, 
33.37558, -111.99760, 
33.37546, -111.99761, 
33.37535, -111.99766, 
33.37527, -111.99776, 
33.37520, -111.99787, 
33.37515, -111.99800, 
33.37511, -111.99814, 
33.37510, -111.99828, 
33.37510, -111.99842, 
33.37513, -111.99855, 
33.37517, -111.99868, 
33.37521, -111.99882, 
33.37524, -111.99897, 
33.37527, -111.99910, 
33.37528, -111.99924, 
33.37529, -111.99940, 
33.37529, -111.99955, 
33.37527, -111.99968, 
33.37525, -111.99983, 
33.37521, -111.99995, 
33.37518, -112.00011, 
33.37515, -112.00026, 
33.37511, -112.00039, 
33.37504, -112.00051, 
33.37499, -112.00064, 
33.37494, -112.00076, 
33.37488, -112.00087, 
33.37482, -112.00100, 
33.37477, -112.00112, 
33.37472, -112.00124, 
33.37465, -112.00137, 
33.37459, -112.00148, 
33.37451, -112.00159, 
33.37442, -112.00170, 
33.37433, -112.00177, 
33.37422, -112.00183, 
33.37412, -112.00187, 
33.37402, -112.00192, 
33.37392, -112.00197, 
33.37382, -112.00204, 
33.37374, -112.00212, 
33.37365, -112.00222, 
33.37357, -112.00234, 
33.37351, -112.00249, 
33.37347, -112.00264, 
33.37344, -112.00278, 
33.37343, -112.00293, 
33.37340, -112.00307, 
33.37338, -112.00320, 
33.37336, -112.00334, 
33.37335, -112.00348, 
33.37332, -112.00362, 
33.37330, -112.00375, 
33.37330, -112.00390, 
33.37331, -112.00403, 
33.37335, -112.00417, 
33.37340, -112.00430, 
33.37348, -112.00442, 
33.37357, -112.00451, 
33.37366, -112.00460, 
33.37377, -112.00471, 
33.37386, -112.00482, 
33.37392, -112.00493, 
33.37394, -112.00507, 
33.37395, -112.00522, 
33.37395, -112.00539, 
33.37394, -112.00554, 
33.37394, -112.00568, 
33.37392, -112.00583, 
33.37390, -112.00598, 
33.37389, -112.00611, 
33.37388, -112.00627, 
33.37387, -112.00642, 
33.37386, -112.00656, 
33.37384, -112.00669, 
33.37380, -112.00683, 
33.37374, -112.00696, 
33.37368, -112.00708, 
33.37362, -112.00721, 
33.37354, -112.00732, 
33.37347, -112.00745, 
33.37341, -112.00758, 
33.37333, -112.00770, 
33.37327, -112.00783, 
33.37319, -112.00795, 
33.37314, -112.00808, 
33.37307, -112.00821, 
33.37300, -112.00834, 
33.37292, -112.00846, 
33.37286, -112.00859, 
33.37283, -112.00873, 
33.37279, -112.00887, 
33.37277, -112.00900, 
33.37275, -112.00915, 
33.37271, -112.00930, 
33.37270, -112.00944, 
33.37269, -112.00957, 
33.37271, -112.00970, 
33.37275, -112.00983, 
33.37281, -112.00995, 
33.37284, -112.01009, 
33.37288, -112.01022, 
33.37288, -112.01036, 
33.37289, -112.01050, 
33.37288, -112.01064, 
33.37286, -112.01078, 
33.37283, -112.01092, 
33.37281, -112.01107, 
33.37277, -112.01118, 
33.37271, -112.01130, 
33.37262, -112.01141, 
33.37252, -112.01152, 
33.37242, -112.01165, 
33.37234, -112.01175, 
33.37226, -112.01185, 
33.37217, -112.01195, 
33.37209, -112.01205, 
33.37200, -112.01215, 
33.37192, -112.01225, 
33.37184, -112.01237, 
33.37178, -112.01249, 
33.37172, -112.01262, 
