"R" "s" "x1" "y1"
313429.455195846 2203.10322461894 305.836875922978 8510.02224721014
310958.309408866 2287.46411914600 6911.0190263018 -5666.87881015241
314689.927997258 1968.54882830865 -6888.93803860992 2541.34299699217
310722.293441267 2294.00017920028 6625.12391339988 6047.2017666325
295495.164789173 1391.93370608456 330.138029530644 -4447.43209984154
306594.444462734 2388.48792272431 8289.4873432815 -4521.51141129434
294130.86755 2579.86328362450 9548.7534115091 4119.11279894412
286963.80702786 2663.44592776805 -9725.78991670161 4735.13120785356
305560.167443655 2408.27982651079 -9480.38920294493 1077.27339491248
311642.748178809 2267.40137445721 -8383.83973110467 2793.55003964156
306987.238940568 1719.33882277207 -5397.03728631139 2835.78342758119
306686.960796698 2386.66084225923 3412.44053561240 -8794.45722792298
311848.698111452 2260.99137070973 5324.12129919976 7012.9164820537
255234.657912505 2944.07562758039 9093.07292662561 -8164.1696812585
314592.651705319 2139.05790585763 3956.59472327679 7176.91637575626
218443.147459587 3185.74851993689 -9362.23688069731 9627.0269760862
278384.677179318 1349.49710616175 845.01619450748 4162.58104611188
288887.059741429 1457.82389715478 -2262.19114847481 -4221.15584369749
314832.603860015 2118.78915999735 5683.33065602928 -5762.96028681099
304594.496982348 1674.18084104804 -2392.48943980783 -5361.29746120423
285140.621392983 1417.05051694976 -2595.09180672467 -3780.21689597517
266293.961258509 1242.58817825935 -2367.44628287852 -2860.26714835316
285200.037113303 1417.67663455373 -3670.26924155653 2753.61286941916
300149.374111391 1602.21841799662 -1480.69078102708 5308.45465604216
294810.433397395 2571.24295809926 8578.0768794939 -5802.39449162036
180975.740212609 712.281744724044 -1057.03544802964 -96.2524814531207
264451.80610826 2872.48156122586 7529.12092022598 -9166.73644911498
309034.58459891 2336.42428670512 5852.49539930373 -7075.28456114233
306324.000566351 1706.22682994648 4838.16463500261 3600.93628056347
306771.836310482 1715.02410654858 -5994.71317604184 985.141322016716
312298.845458373 1588.27575623350 737.664657644928 -5391.14587940276
290534.391247333 2623.33072192429 8970.8684105426 5677.75077186525
301494.819823687 2477.28101878916 5502.19792872667 -8213.81906513125
312842.145618366 2226.83718996614 -8570.79265173525 1044.35642249882
306502.202948612 2390.29980999874 4168.72642468661 -8482.4851481244
206295.178975384 845.052858561195 -449.737696908414 1665.61486665159
301241.384608734 1618.78287926280 -4029.85095977783 3879.71384450793
306747.561750759 2385.45865615584 -7635.65184082836 -5529.0758330375
303902.354302967 1662.09716513825 -2745.32099720091 5121.03096581995
308732.617229901 2343.36854569179 -5304.26601879299 7537.56936173886
284497.825274736 1410.31596627435 4132.23367650062 1908.27770624310
227689.353283047 3130.11201096277 8728.65078505129 -9836.05028595775
314662.828170013 2133.63984935319 -6189.51571173966 -5330.04448283464
299884.620119463 1598.29390262345 -5035.01613624394 -2191.99678860605
301421.456362906 2478.42414555506 -8637.58996594697 4821.42013031989
255175.224113196 1155.48131462181 1662.53711562604 -2824.42280557007
308051.17018605 1741.53433872471 -4788.75271044672 3950.06776321679
287130.91363113 2661.62718894078 5718.43107230961 -9171.44201695919
303934.061722108 1398.78106139013 -4487.21271939576 -245.167124085128
313032.070042695 2219.52600419226 8350.1180773601 2048.11378382146
312958.159224136 2222.40807312359 -7750.97040459514 3753.62452119589
295775.191541726 2558.75414439949 9956.03882241994 2615.14944955707
311404.372502721 1825.40770279521 -1485.07075384259 6458.49861204624
304665.751227792 2424.55304514773 -4625.49842428416 8438.14997002482
297034.909765855 2541.97005646204 -3190.56546315551 -9698.52230045944
297576.580733520 2534.57430481445 -8115.41526578367 -6134.11363679916
314760.197820694 2125.48087433748 -7947.48702086508 1700.63278637826
281019.724082068 1375.04048597533 -3278.93600333482 2896.71796839684
286365.824941342 1430.08952196135 4043.38558670133 -2297.32365347445
310758.587497884 1806.99348425427 -4816.46905187517 -4416.72107670456
315130.26388318 2022.374862457 -1883.00055917352 7375.29249861836
283728.474514608 2697.65243235748 -9545.79836223274 5442.39276088774
292599.246811221 2598.79568983704 3671.6502904892 -9830.69518581033
311288.760223231 1822.00176092 -4347.60829433799 4979.0077842772
311774.662255984 1836.68215439503 -4717.53780730069 -4734.2176316306
304802.231713867 2422.11590105115 7412.51713130623 -6117.01137851924
312746.753104886 1869.60240596156 6168.17262489349 -2974.71262980253
283058.871666003 1395.49124442835 -3696.31764478981 -2526.82609017938
314497.7432657 2145.89972084075 -7941.99656229466 -2156.23233467340
303563.908495056 2443.67654243798 -9711.32188104093 -370.39150018245
253221.673777171 1141.03849569721 -2839.0004998073 1487.72812914103
309943.024768013 1785.56411660576 -2684.60795748979 5840.35594481975
309585.574550439 1776.70100745251 1838.69842905551 -6112.96365503222
282723.675739600 1392.08587935911 4320.2273035422 1109.53433904797
303475.089054672 1654.82221814602 3708.89018755406 4425.43698009104
305428.989028694 2410.71246113408 -8231.49051517248 -4849.03254546225
300773.531188504 2488.39052318674 2244.58042997867 -9685.26099342853
302524.039384076 1639.09107877090 -5052.91177891195 -2627.98300944269
304906.671662365 2420.24007234288 -4352.80323959887 8557.81235732138
296396.736021648 1448.19994075304 129.694184288383 -4739.2254229635
310605.440540599 1802.82773997604 -4107.75168798864 5055.72735331953
310111.786375614 1789.85353806274 6448.54036159813 -96.8552846461535
273118.655021179 1301.05545395473 -3703.80084961653 1524.50164780021
299680.168184078 2504.71356281982 9711.94924786687 2479.90998439491
315175.433026361 2062.68435973352 4589.27581086755 6323.61508440226
209455.136741548 862.664814196922 711.940755136311 -1667.71836578846
308643.838368696 2345.37911529206 1918.50610543042 9025.23885015398
300053.688571988 2499.20390957057 9907.46140945703 -1327.63519883156
311613.268255802 2268.30351178112 328.029878437519 -8835.43033152819
295677.006174407 1446.90324990596 4680.04579190165 -716.111375950277
312747.053604388 2230.38648861492 -8138.23740929365 2936.8396056816
300359.974604668 2494.63506227515 -9495.92155404389 -3048.22893347591
302609.634617814 1640.48214719932 -1865.71892350912 -5388.56020662934
314656.188812591 1965.83261222154 6201.67114306241 3905.88097739965
242861.734982271 3032.00994575906 9932.34721943736 7850.1807525754
289634.537493581 1466.29959161205 2289.39102962613 -4254.6517169103
269261.709009673 2832.52404427661 9688.44190239906 -6492.36504919827
297798.295791 1568.48566364022 3739.55655843019 3815.39736874402
314185.69220612 2165.57437973761 -6963.16985413432 -4568.11951939017
298202.235001439 1574.11114745057 5264.78222105652 1060.63051614910
180360.455448047 709.218911470117 472.782398574054 -933.161629363894
284128.081891247 2693.52589286164 4594.92353722453 9958.69337581098
281069.575933196 2724.46694079402 5647.83357549459 -9581.66505210102
240173.561498078 1049.90708097083 1467.12897811085 -2325.39835385978
303208.826164993 2449.64440585779 -775.219518691301 9717.34878607094
